,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,500,2,100000.0,1.191432847537555,7528820000000.0,100000.0,100.0,7528820000000.0,0.49961388592726047,0.13776595560328667,0.0880085749676768
1,1,0.1,1000,2,100000.0,1.4245703315395712,7519730000000.0,100000.0,100.0,7519730000000.0,0.9950351669356224,0.12203542595144298,0.09156439538136452
2,2,0.1,1500,2,100000.0,1.7093389082243329,6934960000000.0,100000.0,100.0,6934960000000.0,1.4984964120314999,0.1390621032629285,0.08063168676453894
3,3,0.1,2000,2,100000.0,2.064163904469712,6194530000000.0,100000.0,100.0,6194530000000.0,1.998640250659264,0.14256670536927063,0.08837840610182
4,4,0.1,2500,2,100000.0,2.5118137811320644,5437420000000.0,100000.0,100.0,5437420000000.0,2.4959000845456103,0.11925236727951964,0.09036830146144051
5,5,0.1,3000,2,100000.0,3.0668427013872974,4720160000000.0,100000.0,100.0,4720160000000.0,2.9969570591238153,0.13845065712061227,0.0926731829101136
6,6,0.1,3500,2,100000.0,3.797208992452417,4065910000000.0,100000.0,100.0,4065910000000.0,3.4987656017483455,0.1414107344246248,0.0823384139453778
7,7,0.1,4000,2,100000.0,4.645923194002247,3482280000000.0,100000.0,100.0,3482280000000.0,3.9902807645930807,0.14014348040155494,0.07814370868940089
8,8,0.1,4500,2,100000.0,5.546693824604396,2969180000000.0,100000.0,100.0,2969180000000.0,3.061126123419387,0.1373177050782755,0.0902366668639392
9,9,0.1,5000,2,100000.0,6.092590039420309,2522670000000.0,100000.0,100.0,2522670000000.0,4.984593700955884,0.12308070605919298,0.08280276165373075
